platform,listing_id,title,city,bedrooms,bathrooms,price,rating,review_count,amenities_count,last_scraped
airbnb,1508636882518660634,Home in Haqel,Haqel,2,2,191,4.8,5,48,19/11/2025 11:46
airbnb,818052749723907679,Apartment in Byblos,Byblos,2,2,50.4,4.77,31,44,19/11/2025 11:46
airbnb,902152901324345102,Apartment in Jdeideh,Jdeideh,3,1,79.8,5,62,68,19/11/2025 11:46
airbnb,794018943468339697,Apartment in Blat,Blat,2,1,73.8,5,59,51,19/11/2025 11:46
airbnb,1450559262902995002,Apartment in Broummâna,Broummâna,1,2,73.2,5,10,56,19/11/2025 11:46
airbnb,52747291,Chalet in Chekka,Chekka,2,1,114.2,4.96,69,17,19/11/2025 11:46
airbnb,47281082,Boutique hotel in Jounieh,Jounieh,1,1,70,5,16,45,19/11/2025 11:46
airbnb,645429136446909956,Home in Ehmej,Ehmej,2,1,194,5,10,27,19/11/2025 11:47
airbnb,1110954937820169348,Apartment in Beirut,Beirut,1,1,108.6,5,55,71,19/11/2025 11:47
airbnb,1498411984223769189,Apartment in Keserwan District,Keserwan District,1,1,36.6,5,,38,19/11/2025 11:47
airbnb,1542663026104667552,Apartment in Beirut,Beirut,2,1,65,5,,11,19/11/2025 11:47
airbnb,51839389,Apartment in Beirut,Beirut,,1,34.6,4.69,122,37,19/11/2025 11:47
airbnb,1367393200123477315,Apartment in Beirut,Beirut,1,1,76.4,4.97,34,45,19/11/2025 11:47
airbnb,817107637699176423,Tiny home in Deir El Qamar,Deir El Qamar,1,,80,4.95,37,57,19/11/2025 11:47
airbnb,1438471626381067399,Guesthouse in Ehden,Ehden,1,1,153,5,9,38,19/11/2025 11:47
airbnb,1203667813056697948,Home in Douma,Douma,4,4,179.8,4.65,26,29,19/11/2025 11:47
airbnb,1521713531696188555,Apartment in Beit Mery,Beit Mery,3,2,70.2,5,3,44,19/11/2025 11:47
airbnb,1228336460793071454,Apartment in Batroun,Batroun,2,3,81.6,4.97,35,46,19/11/2025 11:47
airbnb,52432501,Apartment in Beirut,Beirut,1,1,56,4.67,18,18,19/11/2025 11:47
airbnb,1404323834751621152,Apartment in Beirut,Beirut,2,2,151.8,5,8,40,19/11/2025 11:47
airbnb,701308425303737068,Apartment in Beirut,Beirut,1,1,72.6,4.7,119,25,19/11/2025 11:47
airbnb,51957652,Apartment in Beirut,Beirut,,1,41.8,4.64,85,35,19/11/2025 11:47
airbnb,960535245624888590,Apartment in Beirut,Beirut,1,1,90,4.93,14,39,19/11/2025 11:47
airbnb,1450073809219943938,Guesthouse in Ijdabra,Ijdabra,1,1,108.6,5,17,22,19/11/2025 11:47
airbnb,1432662855135740774,Chalet in Fadous,Fadous,1,1,106.2,4.96,26,17,19/11/2025 11:48
airbnb,1157205931529630614,Home in Aajaltoûn,Aajaltoûn,2,2,82.8,5,34,48,19/11/2025 11:48
airbnb,643148297216914056,Bungalow in Douma,Douma,1,1,100.6,4.89,28,45,19/11/2025 11:48
airbnb,620809666276880473,Home in Broummâna,Broummâna,3,3,214.4,5,43,59,19/11/2025 11:48
airbnb,51725976,Apartment in Beirut,Beirut,,1,37,4.73,139,33,19/11/2025 11:48
